NAV Date,NAV (Rs)
03-02-2022,95.6616
02-02-2022,96.094
01-02-2022,94.8302
31-01-2022,93.9918
28-01-2022,92.7489
27-01-2022,92.2698
25-01-2022,93.0392
24-01-2022,92.0507
21-01-2022,96.4195
20-01-2022,98.5347
19-01-2022,98.7872
18-01-2022,98.9829
17-01-2022,100.9424
14-01-2022,100.1494
13-01-2022,99.6433
12-01-2022,99.1533
11-01-2022,98.3547
10-01-2022,98.4593
07-01-2022,97.3225
06-01-2022,96.6556
05-01-2022,96.7149
04-01-2022,97.1037
03-01-2022,96.4493
31-12-2021,94.9717
30-12-2021,94.1683
29-12-2021,94.2021
28-12-2021,93.7442
27-12-2021,91.9479
24-12-2021,91.3089
23-12-2021,91.7322
22-12-2021,90.9911
21-12-2021,89.4953
20-12-2021,88.153
17-12-2021,90.9058
16-12-2021,92.7212
15-12-2021,93.1309
14-12-2021,93.2445
13-12-2021,93.1151
10-12-2021,92.4852
09-12-2021,91.835
08-12-2021,91.4421
07-12-2021,90.2399
06-12-2021,89.2112
03-12-2021,90.4343
02-12-2021,90.2546
01-12-2021,89.3469
30-11-2021,89.1012
29-11-2021,87.5879
26-11-2021,89.4366
25-11-2021,92.2212
24-11-2021,91.3372
23-11-2021,90.6047
22-11-2021,89.18
18-11-2021,91.8004
17-11-2021,93.3562
16-11-2021,93.3874
15-11-2021,92.9644
12-11-2021,92.6559
11-11-2021,92.4683
10-11-2021,92.4811
09-11-2021,91.9116
08-11-2021,91.5243
03-11-2021,89.5711
02-11-2021,89.7822
01-11-2021,88.6089
29-10-2021,87.6161
28-10-2021,87.6892
27-10-2021,89.2377
26-10-2021,88.7964
25-10-2021,86.5984
22-10-2021,88.2321
21-10-2021,89.1129
20-10-2021,90.2095
19-10-2021,92.7501
18-10-2021,93.9295
14-10-2021,93.2095
13-10-2021,92.8896
12-10-2021,92.3272
11-10-2021,92.1055
08-10-2021,91.7163
07-10-2021,90.5912
06-10-2021,89.623
05-10-2021,90.0221
04-10-2021,89.6665
01-10-2021,88.1773
30-09-2021,88.0434
29-09-2021,87.4637
28-09-2021,87.2249
27-09-2021,87.8059
24-09-2021,88.3762
23-09-2021,88.1305
22-09-2021,87.4014
21-09-2021,86.8307
20-09-2021,86.5599
17-09-2021,88.1974
16-09-2021,88.7277
15-09-2021,88.887
14-09-2021,87.8499
13-09-2021,87.465
09-09-2021,86.8625
08-09-2021,86.3261
07-09-2021,85.8746
06-09-2021,85.7657
03-09-2021,85.2063
02-09-2021,84.9964
01-09-2021,84.2435
31-08-2021,84.3877
30-08-2021,83.7479
27-08-2021,82.1517
26-08-2021,81.48
25-08-2021,81.1731
24-08-2021,80.88
23-08-2021,79.7998
20-08-2021,80.8135
18-08-2021,82.3912
17-08-2021,82.6083
16-08-2021,82.6423
13-08-2021,83.1732
12-08-2021,83.0268
11-08-2021,81.4055
10-08-2021,81.7863
09-08-2021,83.2741
06-08-2021,83.6276
05-08-2021,83.6888
04-08-2021,83.7065
03-08-2021,84.7551
02-08-2021,84.344
30-07-2021,83.7178
29-07-2021,83.4881
28-07-2021,82.6451
27-07-2021,82.9793
26-07-2021,83.1495
23-07-2021,82.8264
22-07-2021,82.6404
20-07-2021,81.539
19-07-2021,82.5801
16-07-2021,82.7359
15-07-2021,82.2027
14-07-2021,81.6936
13-07-2021,81.3928
12-07-2021,80.5995
09-07-2021,80.1952
08-07-2021,79.8657
07-07-2021,80.0073
06-07-2021,79.6488
05-07-2021,80.0213
02-07-2021,79.258
01-07-2021,78.3409
30-06-2021,77.818
29-06-2021,77.0479
28-06-2021,76.9156
25-06-2021,76.6054
24-06-2021,76.1903
23-06-2021,76.2857
22-06-2021,76.2925
21-06-2021,75.7369
18-06-2021,75.4514
17-06-2021,76.1084
16-06-2021,76.3912
15-06-2021,76.9729
14-06-2021,76.693
11-06-2021,76.7007
10-06-2021,76.4326
09-06-2021,75.4718
08-06-2021,76.2031
07-06-2021,75.3611
04-06-2021,74.4317
03-06-2021,73.944
02-06-2021,73.2209
01-06-2021,72.4304
31-05-2021,72.9427
28-05-2021,72.6938
27-05-2021,72.8879
26-05-2021,72.3311
25-05-2021,71.9205
24-05-2021,71.918
21-05-2021,71.414
20-05-2021,71.2713
19-05-2021,71.0456
18-05-2021,70.5321
17-05-2021,69.7468
14-05-2021,68.6482
12-05-2021,69.3099
11-05-2021,69.5276
10-05-2021,69.1552
07-05-2021,68.5838
06-05-2021,68.7647
05-05-2021,68.5281
04-05-2021,67.9539
03-05-2021,68.5099
30-04-2021,67.2137
29-04-2021,67.1829
28-04-2021,66.9318
27-04-2021,66.1876
26-04-2021,65.3961
23-04-2021,64.8459
22-04-2021,64.5696
20-04-2021,64.0918
19-04-2021,63.7685
16-04-2021,64.54
15-04-2021,63.8082
13-04-2021,63.9933
12-04-2021,63.2106
09-04-2021,66.3294
08-04-2021,66.0653
07-04-2021,65.4634
06-04-2021,64.6124
05-04-2021,64.0751
01-04-2021,64.9797
31-03-2021,63.935
30-03-2021,63.3914
26-03-2021,62.5491
25-03-2021,61.7086
24-03-2021,62.8858
23-03-2021,63.851
22-03-2021,63.273
19-03-2021,62.9917
18-03-2021,62.608
17-03-2021,63.5226
16-03-2021,65.0436
15-03-2021,64.7533
12-03-2021,65.1094
10-03-2021,65.0005
09-03-2021,64.3209
08-03-2021,64.3105
05-03-2021,64.0828
04-03-2021,65.2266
03-03-2021,64.69
02-03-2021,64.0334
01-03-2021,62.7583
26-02-2021,61.462
25-02-2021,62.0977
24-02-2021,61.5004
23-02-2021,60.804
22-02-2021,60.4374
19-02-2021,61.1359
18-02-2021,61.5803
17-02-2021,61.2674
16-02-2021,60.8337
15-02-2021,60.743
12-02-2021,60.4006
11-02-2021,60.3859
10-02-2021,59.3624
09-02-2021,59.1074
08-02-2021,59.1998
05-02-2021,58.1143
04-02-2021,57.6133
03-02-2021,56.7949
02-02-2021,55.8121
01-02-2021,55.2887
29-01-2021,53.9911
28-01-2021,54.0773
27-01-2021,54.245
25-01-2021,54.5016
22-01-2021,55.139
21-01-2021,55.6336
20-01-2021,55.9987
19-01-2021,55.7284
18-01-2021,54.9495
15-01-2021,55.863
14-01-2021,56.3147
13-01-2021,56.3828
12-01-2021,56.3683
11-01-2021,56.3357
